titulo,descricao,url_imagem,link,categoria
Agricultor tem opção de picape em que pode confiar,A Nova Nissan Frontier possui força e estilo para encarar qualquer desafio; saiba mais!,https://s2.glbimg.com/iOJ6--Ov9NfepV8queDkwTioWg0=/540x304/top/smart/https://i.s3.glbimg.com/v1/AUTH_59edd422c0c84a879bd37670ae4f538a/internal_photos/bs/2022/T/6/FPwHPOTASXBVBfjmj6Rg/nissan-1.jpg,https://g1.globo.com/economia/agronegocios/agro-a-industria-riqueza-do-brasil/especial-publicitario/nissan/noticia/2022/05/19/agricultor-tem-opcao-de-picape-em-que-pode-confiar.ghtml, NISSAN 
Saiba quais as diferenças entre os cafés conilon e arábica e como são consumidos,Especialista em cafés explica as diferenças entre eles e como identificá-los no dia a dia.,https://s2.glbimg.com/WOXe1YfHapXu3vzakKdlG2Oea50=/540x304/top/smart/https://i.s3.glbimg.com/v1/AUTH_59edd422c0c84a879bd37670ae4f538a/internal_photos/bs/2022/c/F/AcLYmuT5mOz8jhkiBx4Q/foto-1-lavoura-de-arabica.jpeg,https://g1.globo.com/mg/sul-de-minas/grao-sagrado/noticia/2022/05/19/saiba-quais-as-diferencas-entre-os-cafes-conilon-e-arabica-e-como-sao-consumidos.ghtml, Grão Sagrado 
De onde vem o que eu como: 5 histórias de quem produz os alimentos que chegam à sua mesa,Mais de 8 milhões de pessoas atuam no agronegócio. Cientista que revolucionou o setor de adubos veio ao Brasil fugindo da Segunda Guerra Mundial e o líder de comunidade tradicional extrativista que sofre ameaças de morte.,https://s2.glbimg.com/DgnJ7ZwVwl3IsRJJImhhX4stLyI=/540x304/top/smart/filters:max_age(3600)/https://s01.video.glbimg.com/deo/vi/68/07/10580768,https://g1.globo.com/economia/agronegocios/agro-a-industria-riqueza-do-brasil/noticia/2022/05/17/de-onde-vem-o-que-eu-como-5-historias-de-quem-produz-os-alimentos-que-chegam-a-sua-mesa.ghtml, Agro a indústria-riqueza do Brasil 
"De olho no futuro e também mantendo tradições, agronegócio é formado por gente",São pessoas que melhoram a produtividade das safras ou cuidam dos animais em granjas e pastagens. ,https://s2.glbimg.com/tIvTsndx3doQUk5I3le-fIGT8WI=/540x304/top/smart/filters:max_age(3600)/https://s01.video.glbimg.com/deo/vi/75/91/10579175,https://g1.globo.com/economia/agronegocios/agro-a-industria-riqueza-do-brasil/noticia/2022/05/16/de-olho-no-futuro-e-tambem-mantendo-tradicoes-agronegocio-e-formado-por-gente.ghtml, Agro a indústria-riqueza do Brasil 
Entenda como nova portaria do Mapa pretende tirar cafés adulterados dos supermercados em MG,Medida pretende acabar com fraudes e acrescentar informações mais precisas sobre a qualidade do pó nas embalagens de café.,https://s2.glbimg.com/V-41YcW5TVZVY-Mkzx0dmKCuIRc=/540x304/top/smart/https://i.s3.glbimg.com/v1/AUTH_59edd422c0c84a879bd37670ae4f538a/internal_photos/bs/2022/M/v/w1No3ETsOweR5fBEPI4Q/foto-1-portaria-do-mapa-cria-um-padrao-de-classificacao-do-cafe-torrado..jpeg,https://g1.globo.com/mg/sul-de-minas/grao-sagrado/noticia/2022/05/16/entenda-como-nova-portaria-do-mapa-pretende-tirar-cafes-adulterados-dos-supermercados-no-sul-de-mg.ghtml, Grão Sagrado 
"Calendário da feira: maio tem maracujá, tangerina ponkan, mandioca e muito mais","Geadas prejudicaram pomares de tangerina em Minas Gerais, mas a expectativa é de alta produção com bom preço e qualidade. Veja como escolher e armazenar cada fruta e legumes. ",https://s2.glbimg.com/X7ejwzzONzTJjG7B8wn4ha2mGgk=/540x304/top/smart/https://i.s3.glbimg.com/v1/AUTH_59edd422c0c84a879bd37670ae4f538a/internal_photos/bs/2021/G/N/Thl8AqQ8WX5VUVPQtRhg/tabela-da-feira-jun-frutas-1-1-.jpg,https://g1.globo.com/economia/agronegocios/agro-a-industria-riqueza-do-brasil/noticia/2022/05/10/calendario-da-feira-maio-tem-maracuja-tangerina-ponkan-mandioca-e-muito-mais.ghtml, Agro a indústria-riqueza do Brasil 
De onde vem o que eu como: produção da carne bovina pode poluir menos com ração especial,"Mudança na dieta faz animais produzirem menos gás poluente, que contribui com efeito estufa. Ingrediente também ajuda a impedir perda de peso do boi.",https://s2.glbimg.com/EUP_JSyDGVgbevYXo3m80f5qtZA=/540x304/top/smart/filters:max_age(3600)/https://s01.video.glbimg.com/deo/vi/05/08/10090805,https://g1.globo.com/economia/agronegocios/agro-a-industria-riqueza-do-brasil/noticia/2022/05/02/de-onde-vem-o-que-eu-como-producao-da-carne-bovina-pode-poluir-menos-com-racao-especial.ghtml, Agro a indústria-riqueza do Brasil 
Pesquisa fornece novas ferramentas para melhor produção no campo,"Aumento de alternativas biológicas para controlar pragas e doenças usando menos veneno e ração que ajuda o gado a reduzir em até 30% a emissão de gás metano na atmosfera, são alguns dos exemplos.",https://s2.glbimg.com/ks8WlXkjkzv0WB4V2jQKZ5uAUw4=/540x304/top/smart/filters:max_age(3600)/https://s01.video.glbimg.com/deo/vi/96/15/10531596,https://g1.globo.com/economia/agronegocios/agro-a-industria-riqueza-do-brasil/noticia/2022/05/01/pesquisa-fornece-novas-ferramentas-para-melhor-producao-no-campo.ghtml, Agro a indústria-riqueza do Brasil 
Pesquisa da UFV usa técnica de edição gênica para resgatar características de espécies silvestres para criação de novas culturas,Os pesquisadores mostraram que o uso da técnica CRISPR-Cas9 em espécies silvestres permite combinar características úteis dessas plantas com outros aspectos agronomicamente desejáveis. ,https://s2.glbimg.com/i1LwniVa82cyoX5A1YsZl-sB-Po=/540x304/top/smart/https://i.s3.glbimg.com/v1/AUTH_59edd422c0c84a879bd37670ae4f538a/internal_photos/bs/2022/1/i/n8T9n6TnOFjIzwKGAJAQ/ufvbbc.jpg,https://g1.globo.com/mg/zona-da-mata/noticia/2022/05/01/pesquisa-da-ufv-usa-tecnica-de-edicao-genica-para-resgatar-caracteristicas-de-especies-silvestres-para-criacao-de-novas-culturas.ghtml, Zona da Mata 
Gente do campo: conheça as comunidades tradicionais de fundo e fecho de pasto,Povos centenários do sertão nordestino se deslocam por longas distâncias para criar animais em áreas coletivas. Eles vivem da coleta de frutos e plantas medicinais da Caatinga e do Cerrado e lutam para manter seus territórios.,https://s2.glbimg.com/g7KoBC4YjeQQeZjnPVwhov2t_k8=/540x304/top/smart/https://i.s3.glbimg.com/v1/AUTH_59edd422c0c84a879bd37670ae4f538a/internal_photos/bs/2022/A/A/0DOGysSqaiB6IkWZ7bFQ/fundo-e-fecho-de-pasto.png,https://g1.globo.com/economia/agronegocios/agro-a-industria-riqueza-do-brasil/noticia/2022/04/30/gente-do-campo-conheca-as-comunidades-tradicionais-de-fundo-e-fecho-de-pasto.ghtml, Agro a indústria-riqueza do Brasil 
Ibovespa passa a subir ajudada por ações da Eletrobras,"Na quarta-feira, o principal índice de ações da bolsa de valores caiu 2,34%, a 106.247 pontos. ",https://s2.glbimg.com/NyAWUEYBa2bzlCJq3FgrS_9mPkM=/540x304/top/smart/filters:max_age(3600)/https://s01.video.glbimg.com/deo/vi/89/78/10587889,https://g1.globo.com/economia/noticia/2022/05/19/ibovespa.ghtml, Economia 
